"Status","Date and Time","Response Time (ms)","Error","Location"
"up","10/12/2017 06:48:10PM","71 ms","OK","Chicago (IL)"
"up","10/12/2017 06:47:10PM","205 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 06:46:10PM","177 ms","OK","Dallas (TX)"
"up","10/12/2017 06:45:10PM","40 ms","OK","New York (NY)"
"up","10/12/2017 06:44:10PM","186 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 06:43:10PM","148 ms","OK","Seattle 2)"
"up","10/12/2017 06:42:10PM","216 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 06:41:10PM","113 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 06:40:10PM","406 ms","OK","London (UK)"
"up","10/12/2017 06:39:10PM","250 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 06:38:10PM","80 ms","OK","Chicago (IL)"
"up","10/12/2017 06:37:10PM","173 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 06:36:10PM","310 ms","OK","Dallas (TX)"
"up","10/12/2017 06:35:10PM","74 ms","OK","New York (NY)"
"up","10/12/2017 06:34:10PM","174 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 06:33:10PM","160 ms","OK","Seattle 2)"
"up","10/12/2017 06:32:10PM","145 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 06:31:10PM","161 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 06:30:10PM","159 ms","OK","London (UK)"
"up","10/12/2017 06:29:10PM","57 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 06:28:10PM","47 ms","OK","Chicago (IL)"
"up","10/12/2017 06:27:10PM","188 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 06:26:10PM","142 ms","OK","Dallas (TX)"
"up","10/12/2017 06:25:10PM","22 ms","OK","New York (NY)"
"up","10/12/2017 06:24:10PM","109 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 06:23:10PM","209 ms","OK","Seattle 2)"
"up","10/12/2017 06:22:10PM","99 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 06:21:10PM","59 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 06:20:10PM","247 ms","OK","London (UK)"
"up","10/12/2017 06:19:10PM","135 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 06:18:10PM","75 ms","OK","Chicago (IL)"
"up","10/12/2017 06:17:10PM","131 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 06:16:10PM","82 ms","OK","Dallas (TX)"
"up","10/12/2017 06:15:10PM","99 ms","OK","New York (NY)"
"up","10/12/2017 06:14:10PM","187 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 06:13:10PM","179 ms","OK","Seattle 2)"
"up","10/12/2017 06:12:10PM","159 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 06:11:10PM","50 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 06:10:10PM","180 ms","OK","London (UK)"
"up","10/12/2017 06:09:10PM","22 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 06:08:10PM","72 ms","OK","Chicago (IL)"
"up","10/12/2017 06:07:10PM","198 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 06:06:10PM","185 ms","OK","Dallas (TX)"
"up","10/12/2017 06:05:10PM","40 ms","OK","New York (NY)"
"up","10/12/2017 06:04:10PM","37 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 06:03:10PM","182 ms","OK","Seattle 2)"
"up","10/12/2017 06:02:10PM","131 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 06:01:10PM","166 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 06:00:10PM","157 ms","OK","London (UK)"
"up","10/12/2017 05:59:10PM","173 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 05:58:10PM","120 ms","OK","Chicago (IL)"
"up","10/12/2017 05:57:10PM","123 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 05:56:10PM","145 ms","OK","Dallas (TX)"
"up","10/12/2017 05:55:10PM","95 ms","OK","New York (NY)"
"up","10/12/2017 05:54:10PM","110 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 05:53:10PM","313 ms","OK","Seattle 2)"
