"Status","Date and Time","Response Time (ms)","Error","Location"
"up","10/12/2017 07:33:24PM","130 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 07:32:24PM","77 ms","OK","Philadelphia (PA)"
"up","10/12/2017 07:31:24PM","116 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 07:30:24PM","138 ms","OK","London (UK)"
"up","10/12/2017 07:29:24PM","80 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 07:28:24PM","99 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 07:27:24PM","247 ms","OK","Athens (Greece)"
"up","10/12/2017 07:26:24PM","635 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 07:25:24PM","26 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 07:24:24PM","96 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 07:23:24PM","106 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 07:22:24PM","68 ms","OK","Philadelphia (PA)"
"up","10/12/2017 07:21:24PM","160 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 07:20:24PM","194 ms","OK","London (UK)"
"up","10/12/2017 07:19:24PM","91 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 07:18:24PM","111 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 07:17:24PM","243 ms","OK","Athens (Greece)"
"up","10/12/2017 07:16:24PM","658 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 07:15:24PM","62 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 07:14:24PM","129 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 07:13:24PM","131 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 07:12:24PM","60 ms","OK","Philadelphia (PA)"
"up","10/12/2017 07:11:24PM","111 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 07:10:24PM","334 ms","OK","London (UK)"
"up","10/12/2017 07:09:24PM","81 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 07:08:24PM","49 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 07:07:24PM","303 ms","OK","Athens (Greece)"
"up","10/12/2017 07:06:24PM","632 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 07:05:24PM","55 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 07:04:24PM","96 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 07:03:24PM","131 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 07:02:24PM","80 ms","OK","Philadelphia (PA)"
"up","10/12/2017 07:01:24PM","96 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 07:00:24PM","59 ms","OK","London (UK)"
"up","10/12/2017 06:59:24PM","93 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 06:58:24PM","76 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 06:57:24PM","347 ms","OK","Athens (Greece)"
"up","10/12/2017 06:56:24PM","583 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 06:55:24PM","101 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 06:54:24PM","92 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 06:53:24PM","114 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 06:52:24PM","94 ms","OK","Philadelphia (PA)"
"up","10/12/2017 06:51:24PM","108 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 06:50:24PM","134 ms","OK","London (UK)"
"up","10/12/2017 06:49:24PM","94 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 06:48:24PM","52 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 06:47:24PM","245 ms","OK","Athens (Greece)"
"up","10/12/2017 06:46:24PM","588 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 06:45:24PM","92 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 06:44:24PM","128 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 06:43:24PM","134 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 06:42:24PM","93 ms","OK","Philadelphia (PA)"
"up","10/12/2017 06:41:24PM","122 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 06:40:24PM","229 ms","OK","London (UK)"
"up","10/12/2017 06:39:24PM","84 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 06:38:24PM","142 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 06:37:24PM","250 ms","OK","Athens (Greece)"
"up","10/12/2017 06:36:24PM","646 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 06:35:24PM","73 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 06:34:24PM","169 ms","OK","Toronto 5 (Canada)"
